207121,3447,212,466,438
250652,2259,562,824,557
274583,3434,664,171,903
321062,3195,457,706,882
355006,2640,275,338,743
112681,2998,255,510,397
370345,3853,280,721,884
450147,4941,253,990,615
125586,3726,205,384,856
183185,3069,584,724,881
113316,1030,348,509,712
207024,3736,859,478,306
323197,1966,613,661,868
285986,2599,242,136,289
171481,1072,578,519,563
330521,2987,901,652,607
438616,3685,925,829,168
270557,4020,940,595,278
111252,2246,969,599,281
428497,2701,503,563,601
219468,3322,449,656,800
176803,2223,664,958,806
392243,4209,899,262,236
420429,4936,372,957,1000
374487,3000,981,357,485
205204,2788,931,713,724
109123,2281,208,375,372
365411,3756,487,716,656
282466,1397,387,726,406
404217,1159,408,379,849
272713,1704,975,609,423
344755,4354,769,117,608
193745,4233,618,408,229
173464,4136,336,607,728
453548,4961,176,891,128
175168,4675,837,456,757
217831,4936,335,182,959
392680,2147,400,850,825
324207,4026,374,425,451
469660,3563,995,293,636
150081,1130,750,736,180
430363,2014,770,734,958
190336,4504,717,890,366
480528,1459,701,118,159
214967,2180,554,895,881
185914,4486,130,812,661
486228,1226,168,912,680
146238,4899,551,361,730
194722,1050,299,462,521
306767,2978,289,777,870
442697,4489,417,287,702
169534,3280,601,706,170
203878,2043,768,607,632
422034,3342,996,410,244
448007,2172,646,776,832
133567,2212,834,912,755
438804,3661,510,410,746
455781,4859,520,639,262
106579,4975,656,102,332
443346,4087,820,163,666
402852,1536,605,456,487
445960,1884,147,487,793
315120,2402,302,155,588
299417,4899,959,926,195
260107,2025,750,651,135
119618,2387,667,793,728
308982,1157,735,577,723
292680,1243,835,495,622
190537,3945,735,283,881
194129,3848,276,136,579
104963,4598,307,427,973
287848,4161,698,504,562
204573,1036,772,762,425
322643,1107,440,158,784
455382,4334,421,492,372
135411,3901,501,532,556
330218,4801,568,890,373
488641,2849,679,464,115
190130,1352,109,328,958
226759,1936,489,495,459
224581,4267,551,722,633
384240,3181,420,137,321
376331,4957,105,924,301
333856,1871,201,647,340
286294,4003,505,468,283
478281,1604,783,359,160
475364,4468,720,996,413
454266,1312,939,739,937
105222,2706,820,905,429
122683,1505,736,446,856
188822,3175,387,347,192
123612,1465,889,235,369
192966,3741,128,858,995
475251,1758,951,949,686
205119,2171,589,688,750
222046,3023,938,207,582
237280,4000,279,385,189
243330,3460,391,142,620
445444,2816,316,396,134
253249,4655,441,638,744
104425,2988,800,408,777
400059,3679,536,104,816
307415,2512,894,739,883
294769,4528,475,660,465
162710,1731,742,367,647
222707,4222,846,884,403
322691,4581,145,545,321
281786,1845,351,913,698
144352,1165,840,180,633
197183,1181,192,155,145
221251,4708,879,884,585
214707,1999,407,634,780
320465,3473,549,294,413
333129,1916,648,765,625
175629,3492,956,887,539
317792,3505,918,613,271
206619,2289,958,600,711
155856,1522,823,878,591
156705,4054,982,537,957
141263,2619,670,849,830
218220,1071,630,383,642
477997,2376,771,400,773
190326,4033,319,847,420
422355,1051,252,676,208
429809,4766,501,957,818
442783,1021,159,421,472
178613,1569,812,932,584
265287,1655,751,877,553
276006,2358,789,122,150
406819,2296,564,340,568
126074,4948,382,403,817
300293,3083,825,259,692
284247,3254,746,409,907
158033,1776,516,287,279
395122,3581,511,493,989
215188,1876,306,542,449
318769,1952,729,255,959
459701,3405,162,322,112
421657,4624,458,466,789
217249,1024,941,886,538
240183,2067,747,214,978
310599,3209,110,887,878
146916,4746,658,701,502
332156,4714,106,710,282
463328,2593,573,700,320
179358,2373,222,673,252
288696,3156,953,832,1000
145984,3102,825,346,526
109606,2366,781,683,378
214812,4557,807,666,153
107506,3647,913,493,173
356224,2375,617,804,952
119624,3790,737,738,713
314795,4788,340,202,719
288081,3428,579,308,840
302975,2956,298,973,329
497540,3881,969,162,790
362152,1975,433,920,931
391361,2606,920,774,618
311491,3963,423,206,375
489107,3692,619,448,314
135667,4452,688,248,495
276895,2650,406,660,999
376265,3199,773,936,840
322998,2513,333,505,290
278143,4595,494,603,198
432025,4263,934,547,793
344636,1397,683,616,289
479314,3137,214,721,667
357225,2910,620,355,608
443572,1150,803,632,813
358118,1333,967,749,313
127290,2184,258,112,665
481294,2275,632,714,719
440698,4373,898,478,934
489901,4822,745,675,732
339659,4876,562,929,662
277023,3393,162,368,168
366881,4753,685,148,395
274138,3809,885,271,964
295241,1441,584,502,855
177378,3530,420,713,395
225688,2565,971,208,985
339849,3080,803,162,546
203141,3111,513,777,849
148082,2368,712,392,685
225438,3685,744,350,600
457592,4117,361,254,895
124510,1931,632,268,739
141119,2200,649,770,611
117957,1716,550,225,490
388813,2774,972,624,177
179953,1336,609,222,531
470492,4456,131,887,202
183343,4015,953,541,125
240251,1055,415,115,997
357813,4564,205,771,672
454696,4003,127,659,585
335560,4776,325,135,864
338806,4899,903,383,708
291817,2132,476,756,149
487841,3501,108,204,106
376601,3708,527,286,435
148007,3219,213,349,680
150490,2847,143,349,726
475141,4288,364,464,173
335594,4282,732,276,416
180171,3503,875,900,387
423973,1707,219,661,592
107461,2031,466,157,160
116167,4991,424,181,497
440169,2060,994,174,337
234854,4302,216,286,810
359844,4295,942,727,654
281502,4408,602,137,332
284031,1911,190,811,285
183953,3171,882,477,366
283724,4840,786,141,762
469280,2047,686,493,211
184362,2981,642,912,510
316632,1795,520,799,390
317594,1704,636,711,659
109550,4758,654,765,462
163422,2215,640,172,860
263914,1429,322,289,747
445198,4893,393,468,798
383316,1149,737,263,610
155899,3303,412,488,131
163148,1597,172,382,146
106642,3902,460,455,287
344506,4033,858,588,882
122661,4431,904,707,227
282962,4889,619,205,880
292920,3858,751,690,815
139102,3898,916,968,354
420394,4344,432,832,450
255331,1349,659,192,397
430753,3625,141,570,241
260358,2267,985,586,244
297276,3912,660,736,692
162132,4377,366,478,824
424857,2445,296,904,540
134115,1903,663,100,825
257949,3870,478,114,478
255315,3046,645,707,317
197828,2028,156,917,145
171062,1636,977,237,821
325576,3919,364,881,123
137620,3415,453,938,998
423828,2025,500,349,560
275032,4587,113,189,375
195311,3949,673,958,224
196150,2937,247,621,954
