16,21,25,34,12,6,15,8,10,4
20,26,30,40,14,8,18,9,12,5
7,9,11,15,5,3,7,3,4,2
5,6,8,10,4,2,5,2,3,1
12,16,19,25,9,5,12,6,8,3
18,24,28,37,13,7,17,9,11,5
21,27,32,43,15,8,19,10,13,5
15,20,24,32,11,6,14,7,10,4
6,7,9,11,4,2,5,3,3,1
15,20,24,31,11,6,14,7,10,4
1,2,2,3,1,1,1,1,1,0
12,15,18,24,8,5,11,5,7,3
14,18,21,28,10,5,13,6,9,4
7,10,11,15,5,3,7,3,5,2
5,6,8,10,4,2,5,2,3,1
7,9,11,14,5,3,6,3,4,2
2,3,3,5,2,1,2,1,1,1
15,20,24,32,11,6,14,7,10,4
8,10,12,15,5,3,7,4,5,2
3,4,5,6,2,1,3,1,2,1
16,21,25,33,12,6,15,8,10,4
7,10,11,15,5,3,7,3,5,2
15,20,24,32,11,6,14,7,10,4
12,15,18,24,8,5,11,5,7,3
18,23,27,36,13,7,17,8,11,5
12,16,18,24,9,5,11,6,8,3
4,5,5,7,3,1,3,2,2,1
18,24,28,38,13,7,17,9,12,5
12,16,19,25,9,5,11,6,8,3
16,21,25,33,12,6,15,8,10,4
3,4,5,6,2,1,3,1,2,1
2,2,3,4,1,1,2,1,1,0
15,19,23,30,11,6,14,7,9,4
19,25,29,39,14,8,18,9,12,5
14,18,22,29,10,6,13,7,9,4
16,21,25,33,12,6,15,8,10,4
1,2,2,3,1,1,1,1,1,0
18,23,27,36,13,7,17,8,11,5
15,20,24,31,11,6,14,7,10,4
21,28,33,44,16,8,20,10,14,6
13,17,20,26,9,5,12,6,8,3
12,15,18,24,8,5,11,6,7,3
15,20,23,31,11,6,14,7,9,4
22,29,34,45,16,9,21,10,14,6
8,11,13,17,6,3,8,4,5,2
1,1,1,2,1,0,1,0,1,0
19,24,29,38,13,7,17,9,12,5
0,0,0,0,0,0,0,0,0,0
11,14,17,23,8,4,10,5,7,3
1,1,1,1,0,0,1,0,0,0
14,18,21,29,10,6,13,7,9,4
16,21,25,34,12,6,15,8,10,4
2,2,2,3,1,1,1,1,1,0
3,4,5,6,2,1,3,1,2,1
20,26,31,41,14,8,19,9,13,5
11,14,17,23,8,4,10,5,7,3
12,16,19,25,9,5,12,6,8,3
12,16,19,25,9,5,12,6,8,3
5,6,8,10,4,2,5,2,3,1
14,18,21,29,10,6,13,7,9,4
17,22,27,35,12,7,16,8,11,4
12,16,19,25,9,5,12,6,8,3
17,22,26,34,12,7,16,8,10,4
15,20,23,31,11,6,14,7,9,4
16,20,24,32,11,6,15,7,10,4
12,16,19,25,9,5,11,6,8,3
2,3,3,5,2,1,2,1,1,1
14,18,22,29,10,6,13,7,9,4
13,18,21,28,10,5,13,6,8,3
15,20,24,31,11,6,14,7,10,4
19,24,29,38,13,7,17,9,12,5
0,1,1,1,0,0,0,0,0,0
11,15,17,23,8,4,11,5,7,3
