6,10,8,9,2,6,11,6,14,7
4,6,5,6,1,4,7,4,9,5
5,9,8,9,2,6,10,6,13,6
10,16,14,16,3,11,18,11,23,12
4,6,5,6,1,4,7,4,9,5
2,4,3,4,1,3,4,3,6,3
2,3,3,3,1,2,4,2,5,2
9,15,13,15,3,10,17,10,22,11
7,12,10,12,3,8,14,8,18,9
11,18,15,18,4,12,20,12,26,13
4,7,6,7,1,5,8,5,10,5
9,15,13,15,3,10,17,10,22,11
11,19,16,18,4,12,21,12,27,13
9,15,12,14,3,10,16,10,21,10
4,7,6,7,1,4,7,4,10,5
5,9,7,8,2,6,10,6,12,6
8,12,10,12,3,8,14,8,18,9
8,13,11,13,3,9,15,9,19,10
11,19,16,18,4,12,21,12,27,13
2,3,3,3,1,2,3,2,4,2
10,17,14,17,3,11,19,11,24,12
2,3,3,3,1,2,4,2,5,2
1,2,1,2,0,1,2,1,2,1
5,8,7,8,2,6,9,6,12,6
8,14,12,14,3,9,15,9,20,10
3,5,4,5,1,3,6,3,7,4
4,6,5,6,1,4,7,4,9,4
1,1,1,1,0,1,1,1,2,1
2,4,3,4,1,3,4,3,5,3
8,13,11,13,3,9,15,9,19,10
3,6,5,6,1,4,6,4,8,4
1,2,1,2,0,1,2,1,2,1
7,12,10,11,2,8,13,8,16,8
6,10,8,9,2,6,11,6,14,7
10,16,13,15,3,11,18,11,23,11
9,15,12,14,3,10,16,10,21,11
6,10,8,9,2,6,11,6,14,7
11,19,16,18,4,12,21,12,27,13
9,14,12,14,3,9,16,9,20,10
1,1,1,1,0,1,1,1,1,1
2,4,3,4,1,2,4,2,5,3
3,5,4,5,1,3,6,3,7,4
12,19,16,18,4,13,21,13,27,14
9,15,13,15,3,10,17,10,22,11
2,3,3,3,1,2,4,2,5,2
11,17,15,17,4,12,19,12,25,12
9,14,12,14,3,9,16,9,20,10
9,15,13,15,3,10,17,10,21,11
5,9,7,9,2,6,10,6,13,6
2,4,3,4,1,2,4,2,5,3
10,16,13,15,3,11,18,11,23,11
11,18,15,17,4,12,20,12,26,13
0,1,1,1,0,1,1,1,1,1
6,10,8,10,2,7,11,7,14,7
2,3,3,3,1,2,4,2,5,2
10,16,14,16,3,11,18,11,23,12
4,6,5,6,1,4,7,4,9,5
11,18,15,18,4,12,20,12,26,13
4,6,5,6,1,4,7,4,9,4
9,15,13,15,3,10,17,10,21,11
1,2,2,2,0,1,2,1,3,1
5,8,7,8,2,6,9,6,12,6
7,12,10,11,2,8,13,8,16,8
5,8,6,7,2,5,8,5,11,5
2,4,3,4,1,3,4,3,6,3
11,18,15,18,4,12,20,12,26,13
8,13,11,13,3,9,15,9,19,10
6,10,8,9,2,6,11,6,14,7
4,7,5,6,1,4,7,4,9,5
9,14,12,14,3,10,16,10,21,10
5,9,8,9,2,6,10,6,13,6
3,5,4,5,1,3,6,3,7,4
1,1,1,1,0,1,1,1,2,1
8,14,12,14,3,9,15,9,20,10
2,3,3,3,1,2,4,2,5,2
2,3,2,3,1,2,3,2,4,2
8,12,10,12,3,8,14,8,18,9
5,9,7,9,2,6,10,6,13,6
11,18,15,17,4,12,19,12,25,13
8,13,11,13,3,9,15,9,19,9
8,13,11,13,3,9,15,9,19,9
10,17,14,16,3,11,18,11,24,12
3,4,4,4,1,3,5,3,6,3
8,13,11,13,3,9,14,9,19,9
8,14,11,13,3,9,15,9,19,10
12,19,16,19,4,13,21,13,27,14
0,0,0,0,0,0,0,0,0,0
11,19,16,18,4,12,21,12,27,13
6,10,8,9,2,6,11,6,14,7
1,2,2,2,0,2,3,2,3,2
6,10,9,10,2,7,11,7,15,7
1,2,2,2,0,1,2,1,3,2
6,11,9,10,2,7,12,7,15,8
6,10,9,10,2,7,11,7,15,7
1,2,2,2,0,2,3,2,3,2
8,13,11,13,3,9,15,9,19,10
4,7,6,7,1,5,8,5,10,5
4,6,5,6,1,4,7,4,9,5
3,6,5,5,1,4,6,4,8,4
9,15,13,15,3,10,17,10,21,11
0,0,0,0,0,0,0,0,1,0
6,11,9,10,2,7,12,7,15,8
8,13,11,13,3,9,15,9,19,10
3,4,4,4,1,3,5,3,6,3
0,0,0,0,0,0,0,0,0,0
5,9,7,8,2,6,10,6,12,6
4,6,5,6,1,4,7,4,9,5
2,3,3,3,1,2,4,2,5,2
8,13,11,12,3,9,14,9,18,9
5,9,8,9,2,6,10,6,13,6
7,12,10,12,2,8,13,8,17,9
2,3,3,3,1,2,4,2,5,2
4,7,6,7,1,5,8,5,10,5
9,15,13,15,3,10,17,10,22,11
12,19,16,19,4,13,21,13,27,14
4,7,6,7,1,5,8,5,10,5
9,15,13,15,3,10,17,10,21,11
8,13,11,13,3,9,15,9,19,10
0,1,0,1,0,0,1,0,1,0
9,15,12,14,3,10,16,10,21,10
7,11,9,11,2,7,12,7,16,8
